study_id,country/setting,line_or_state,mean_utility,se_or_ci,instrument,n (patients),citation_full,notes
Ramsey2000,USA (multi-center),"""Survivors"" (long-term, disease-free)",0.85,(not reported),HUI3 (Mark II/III),128 (approx),"Ramsey et al., 2000, Cancer",QoL in CRC survivors; surveyed ~5 yrs post-diagnosis. Utility=0.85 for survivors in remission.
Ramsey2000,USA (multi-center),"""Progressed"" (died -1yr after survey)",0.65,(p=0.002 vs 0.85),HUI3,10 (died),"Ramsey et al., 2000, Cancer",Same study: patients who died within 12mo had much lower utility (0.65). Represents advanced/metastatic end-stage.
Ness1999,USA (hypothetical),"mCRC state (metastatic CRC, general)",0.25,(not reported),SG (Standard Gamble),48 (with adenomas),"Ness et al., 1999, Am. J. Gastroenterol.",Very low utility for metastatic CRC state when valued by people with past polyps. (Perspective: patients without CRC envisioning metastatic disease).
Stein2014,UK & Netherlands (2L trial),mCRC Pre-progression (on 2nd-line treatment),0.741,SD = 0.230,EQ-5D-3L (UK tariff),42 (pre-prog),"Stein et al., 2014, Int J Colorectal Dis",Real-world 2L mCRC patients; utility while on treatment (mostly ECOG 0-2). PFS here ~0.74.
Stein2014,UK & Netherlands (2L trial),mCRC Post-progression (post 2L failure),0.731,SD = 0.292,EQ-5D-3L (UK tariff),33 (post-prog),"Stein et al., 2014, Int J Colorectal Dis",Same cohort after progression or on 3L/BSC. Utility ~0.73 (only slightly lower than pre-progression).
Farkkila2013,Finland (cross-sectional),mCRC Metastatic disease (not in palliative care),0.820,95% CI â‰ˆ[0.78â€“0.86],EQ-5D-3L (Finnish tariff),~100 (est.),"FÃ¤rkkilÃ¤ et al., 2013, Colorectal Dis.",National sample of CRC patients: those with metastatic disease (on treatment) had mean EQ-5D â‰ˆ0.82.
Farkkila2013,Finland (cross-sectional),"mCRC Palliative care (advanced, end-stage)",0.643,95% CI â‰ˆ[0.55â€“0.73],EQ-5D-3L (Finnish tariff),46,"FÃ¤rkkilÃ¤ et al., 2013, Colorectal Dis.",Same study: patients in palliative care (late-stage mCRC) had much lower utility (~0.64).
Mittmann2009,Canada/Australia (3L trial),"mCRC Refractory (baseline before 3L, mixed)",0.72,SD â‰ˆ 0.24,HUI3,571 (trial),"Mittmann et al., 2009, JNCI (CO.17 trial)",NCIC CO.17 trial (cetuximab vs BSC in refractory mCRC). Baseline mean HUI3 â‰ˆ0.72. (Cetuximab maintained QoL vs BSC).
Mittmann2009,Canada/Australia (3L trial),mCRC Progression (progressed on BSC),0.45,(not reported),HUI3,279 (BSC arm),"Mittmann et al., 2009, JNCI â€“ reported in Merck/NICE submission","In BSC arm, utilities declined (approx 0.45 at progression/end) â€“ substantially lower than in cetuximab arm. (Implied from cost-effectiveness analysis)."
Borchert2020,Germany (German Tumor Registry Colorectal Cancer),Overall mCRC population,0.82,SD 0.23,EQ-5D-5L (German value set),433,"Borchert, K., Jacob, C., Wetzel, N. et al. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev 10, 40 (2020). https://doi.org/10.1186/s13561-020-00297-6",Cross-sectional study. Utility is the mean for the overall population.
Borchert2020,Germany (German Tumor Registry Colorectal Cancer),PFS-like (First-line palliative treatment),0.82,SD 0.23,EQ-5D-5L (German value set),433,"Borchert, K., Jacob, C., Wetzel, N. et al. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev 10, 40 (2020). https://doi.org/10.1186/s13561-020-00297-6",Utility at 0 months post-enrollment.
Borchert2020,Germany (German Tumor Registry Colorectal Cancer),PD-like (Second-line or later palliative treatment),0.79,SD 0.24,EQ-5D-5L (German value set),433,"Borchert, K., Jacob, C., Wetzel, N. et al. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev 10, 40 (2020). https://doi.org/10.1186/s13561-020-00297-6",Utility at 20 months post-enrollment (lowest mean value).
