study_id,country/setting,line_or_state,mean_utility,se_or_ci,instrument,n (patients),citation_full,notes,Url,state_category,norm_line,mean_utility_3dp
AlHabash2024,Jordan,mCRC General (mixed lines of therapy),0.78,SD = 0.25,EQ-5D-3L (Jordanian tariff),164,Recent study (2024) of mCRC patients in Jordan. Mean utility 0.78; range -0.32 to 1.0. Pain/discomfort most common problem (55%).,,,,general (mixed lines of therapy),0.78
AlHusaini2025,Jordan,"mCRC (general, mixed treatment)",0.78,SD = 0.25,EQ-5D-3L (Jordanian tariff),164,"Al-Husaini M, et al. Measuring health-related quality of life of patients with metastatic colorectal cancer using the Jordanian EQ-5D-3L value set: a cross-sectional observational study. BMC Cancer. 2025;25:1123.",Recent cross-sectional; utilities lower with multiple mets/lines; patient-reported.,,,"(general, mixed treatment)",0.78
Aranda2020,Spain,mCRC (Routine Practice),0.76,(Estimated),EQ-5D-3L,225,"Aranda et al. (ObservEr Study), 2020",Observational study in Southern Europe (incl. Spain). QoL maintained ~0.76 during Cetuximab treatment.,"Aranda2020
Citation: Aranda et al., 2020, Future Oncology, ""Observational study of cetuximab (ObservEr)"".
URL: https://doi.org/10.2217/fon-2020-0062",,(routine practice),0.76
Best2010,USA,Metastatic stable (PFS-like),0.4,not reported,TTO,100,"Best JH, et al. Preference values associated with stage III colon cancer and adjuvant chemotherapy. Qual Life Res. 2010;19(3):391400. doi: 10.1007/s11136-010-9589-5.","Valued by CRC patients for hypothetical mCRC states; notably low, possibly due to vignette description.",https://pubmed.ncbi.nlm.nih.gov/33313984/,,metastatic stable (pfs-like),0.4
Best2010,USA,Metastatic progressive (PD-like),0.37,not reported,TTO,100,"Best JH, et al. Preference values associated with stage III colon cancer and adjuvant chemotherapy. Qual Life Res. 2010;19(3):391400. doi: 10.1007/s11136-010-9589-5.",Same study; patient valuation for progressed hypothetical state.,,,metastatic progressive (pd-like),0.37
Borchert2020,Germany,"mCRC (advanced/metastatic, mixed states)",0.82,NR,EQ-5D-5L,433,"Borchert et al., 2020, Health Economics Review",German registry of advanced CRC (n=433) found mean EQ-5D-5L = 0.82.,https://doi.org/10.1186/s13561-020-00297-6,,"(advanced/metastatic, mixed states)",0.82
Borchert2020,Germany,mCRC (Advanced/Metastatic),0.82,SD = 0.23,EQ-5D-5L (German tariff),433,"Borchert et al., 2020, BMC Health Serv Res",Large German registry study. High mean utility (0.82) for patients 024 months post-1st line palliative therapy.,"Borchert2020
Citation: Borchert et al., 2020, BMC Health Services Research, ""Health-related quality of life, health service use and economic burden of colorectal cancer in Germany"".
URL: https://doi.org/10.1186/s12913-020-4916-1",,(advanced/metastatic),0.82
Borchert2020,Germany,mCRC Palliative (Symptomatic),0.77,(derived from decrement),EQ-5D-5L (German tariff),433,"Borchert et al., 2020, BMC Health Serv Res",Fatigue and pain significantly reduced utility (approx -0.05 combined marginal effect). Proxy for symptomatic/progressing state.,"Borchert2020
Citation: Borchert et al., 2020, BMC Health Services Research, ""Health-related quality of life, health service use and economic burden of colorectal cancer in Germany"".
URL: https://doi.org/10.1186/s12913-020-4916-1",PD-like,palliative (symptomatic),0.77
CORRECT trial,Global,PFS,0.73,,EQ-5D,~505,Grothey et al. 2013; Lancet 381:303-12,,,,pfs,0.73
CORRECT trial,Global,Progressed disease,0.59,,EQ-5D,,Largest PFSPD decrement observed,,,PD-like,progressed disease,0.59
CORRECT*,International,mCRC PFS state (regorafenib trial),0.76,95% CI [0.75-0.77],EQ-5D,505,CORRECT trial of regorafenib vs placebo in refractory mCRC. Utility for progression-free state derived from trial QoL data.,,,,pfs state (regorafenib trial),0.76
CORRECT*,International,mCRC PD state (post-progression),0.69,95% CI [0.66-0.71],EQ-5D,505,Same trial; utility for progressed disease state. Widely cited in cost-effectiveness analyses of refractory mCRC treatments.,,,PD-like,pd state (post-progression),0.69
Djalalov2014 meta-analysis,Pooled,Stage I-III (>1yr post-surgery),0.9,,TTO,"6,546",Meta-analysis of 26 studies,,,,stage i-iii (>1yr post-surgery),0.9
