study_id,country_or_region,line_or_state,mean_utility,se_or_ci,instrument,n,citation_full,notes
Best2010,US,"Metastatic, stable",0.4,NA,TTO (direct valuation),CRC patients (n not specified),"Best JH, et al. Preference values associated with stage III colon cancer and adjuvant chemotherapy. Qual Life Res. 2010;19(3):391-400.",CRC patients valued metastatic stable at 0.40; community members valued same at 0.51
Best2010,US,"Metastatic, progressive",0.37,NA,TTO (direct valuation),CRC patients (n not specified),"Best JH, et al. Preference values associated with stage III colon cancer and adjuvant chemotherapy. Qual Life Res. 2010;19(3):391-400.",CRC patients valued metastatic progressive at 0.37; community members valued same at 0.21
Petrou1997,UK,Stable disease,0.95,NA,SG (standard gamble),~30 proxy respondents (carers),"Petrou S, Campbell N. Stabilisation in colorectal cancer. Int J Palliat Nurs. 1997;3(5):275.",Proxy respondents (carers) due to difficulty eliciting from terminally ill patients
Petrou1997,UK,Progressive disease,0.575,NA,SG (standard gamble),~30 proxy respondents (carers),"Petrou S, Campbell N. Stabilisation in colorectal cancer. Int J Palliat Nurs. 1997;3(5):275.",Proxy respondents (carers)
Ramsey2000,US,"CRC survivors (overall, 2-3 years post-dx)",0.85,SD not reported in abstract,HUI Mark III,173,"Ramsey SD, Andersen MR, Etzioni R, et al. Quality of life in survivors of colorectal carcinoma. Cancer. 2000;88(6):1294-1303.",SURVIVOR cohort 2-3 years post-diagnosis. Average utility 0.85 for survivors vs 0.65 for those who had not achieved remission. NOT metastatic-specific; mixed stages.
Ramsey2000,US,CRC patients not in remission,0.65,SD not reported in abstract,HUI Mark III,173 total cohort,"Ramsey SD, Andersen MR, Etzioni R, et al. Quality of life in survivors of colorectal carcinoma. Cancer. 2000;88(6):1294-1303.","Patients who had NOT achieved remission. Often used as progressed/post-progression utility in mCRC models, though original study was survivors, not active metastatic disease."
Farkkila2013,Finland,Metastatic disease,0.82,NA,EQ-5D (UK tariff),Not specified,"Farkkila N, et al. Health-related quality of life in colorectal cancer. Colorectal Dis. 2013.",CRC patients with metastatic disease
Farkkila2013,Finland,Palliative care,0.643,NA,EQ-5D (UK tariff),Not specified,"Farkkila N, et al. Health-related quality of life in colorectal cancer. Colorectal Dis. 2013.",Likely represents more advanced/progressed state
Stein2014,UK/Netherlands,"Second-line mCRC, pre-progression",0.741,SD = 0.230,EQ-5D-3L,42,"Stein D, Joulain F, Naoshy S, et al. Assessing health-state utility values in patients with metastatic colorectal cancer: a utility study in the United Kingdom and the Netherlands. Int J Colorectal Dis. 2014;29(10):1203-10.",Real-world study of second-line mCRC patients; pre-progression = second or third line following AE on second line
Stein2014,UK/Netherlands,"Second-line mCRC, post-progression",0.731,SD = 0.292,EQ-5D-3L,33,"Stein D, Joulain F, Naoshy S, et al. Assessing health-state utility values in patients with metastatic colorectal cancer: a utility study in the United Kingdom and the Netherlands. Int J Colorectal Dis. 2014;29(10):1203-10.",Real-world study; post-progression = third or subsequent therapy lines or BSC. Similar utilities pre/post in this study.
Bennett2011,Multinational trial,First-line mCRC (Panitumumab + FOLFOX4),0.778,NA,EQ-5D,Trial patients (n not specified),"Bennett L, et al. Health-related quality of life in patients with metastatic colorectal cancer treated with panitumumab in first- or second-line treatment. Br J Cancer. 2011.",Trial-based first-line mCRC with targeted therapy
Bennett2011,Multinational trial,First-line mCRC (FOLFOX4 alone),0.756,NA,EQ-5D,Trial patients (n not specified),"Bennett L, et al. Health-related quality of life in patients with metastatic colorectal cancer treated with panitumumab in first- or second-line treatment. Br J Cancer. 2011.",Trial-based first-line mCRC
Bennett2011,Multinational trial,Second-line mCRC (Panitumumab + FOLFIRI),0.769,NA,EQ-5D,Trial patients (n not specified),"Bennett L, et al. Health-related quality of life in patients with metastatic colorectal cancer treated with panitumumab in first- or second-line treatment. Br J Cancer. 2011.",Trial-based second-line mCRC with targeted therapy
Bennett2011,Multinational trial,Second-line mCRC (FOLFIRI alone),0.762,NA,EQ-5D,Trial patients (n not specified),"Bennett L, et al. Health-related quality of life in patients with metastatic colorectal cancer treated with panitumumab in first- or second-line treatment. Br J Cancer. 2011.",Trial-based second-line mCRC
Borchert2020,Germany,Advanced/metastatic CRC (palliative treatment),0.82,SD = 0.23,EQ-5D-5L (German value set),433,"Borchert K, Jacob C, Wetzel N, et al. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev. 2020;10:40.","Cross-sectional; patients at various stages of palliative treatment (first-line 55%, break after first 23%, second-line 16%, third+ 5%)"
