country,age_band,age_midpoint,utility_norm,instrument_tariff,year,source_short,citation_full
Ireland,55-64,60,0.899,EQ-5D-5L (UK crosswalk),2015-16,Ireland National Health Survey (Hobbins),"Hobbins et al., 2018 - Ireland EQ-5D-5L norms"
Ireland,65-74,70,0.879,EQ-5D-5L (UK crosswalk),2015-16,Ireland National Health Survey (Hobbins),"Hobbins et al., 2018 - Ireland EQ-5D-5L norms"
Ireland,75+,80,0.841,EQ-5D-5L (UK crosswalk),2015-16,Ireland National Health Survey (Hobbins),"Hobbins et al., 2018 - Ireland EQ-5D-5L norms"
England (UK),55-64,60,0.83,EQ-5D-3L (UK TTO tariff),~2014,Health Survey for England (HSE),"Kind et al., 1999; HSE 2014 analysis"
England (UK),65-74,70,0.8,EQ-5D-3L (UK TTO tariff),~2014,Health Survey for England (HSE),"Kind et al., 1999; HSE 2014 analysis"
England (UK),75+,80,0.73,EQ-5D-3L (UK TTO tariff),~2014,Health Survey for England (HSE),"Kind et al., 1999; HSE 2014 analysis"
Germany,55-64,60,0.86,EQ-5D-5L (German value set),2015,German Pop. Norm Study (Grochtdreis),"Grochtdreis et al., 2019 - German EQ-5D-5L norms"
Germany,65-74,70,0.84,EQ-5D-5L (German value set),2015,German Pop. Norm Study (Grochtdreis),"Grochtdreis et al., 2019 - German EQ-5D-5L norms"
Germany,75+,80,0.8,EQ-5D-5L (German value set),2015,German Pop. Norm Study (Grochtdreis),"Grochtdreis et al., 2019 - German EQ-5D-5L norms"
Spain,55-64,60,0.84,EQ-5D-5L (crosswalk),2011,Spanish National Health Survey (Garcia),"Garcia-Gordillo et al., 2016 - Spain EQ-5D-5L norms"
Spain,65-74,70,0.82,EQ-5D-5L (crosswalk),2011,Spanish National Health Survey (Garcia),"Garcia-Gordillo et al., 2016 - Spain EQ-5D-5L norms"
Spain,75+,80,0.73,EQ-5D-5L (crosswalk),2011,Spanish National Health Survey (Garcia),"Garcia-Gordillo et al., 2016 - Spain EQ-5D-5L norms"
