"age_band","country","state_category","U_pop_norm","U_ref_band","multiplier","anchored_utility"
"55-64","England (UK)","PFS-like",0.838,0.838,0.922018514500615,0.772651515151515
"55-64","England (UK)","PD-like",0.838,0.838,0.756030842665688,0.633553846153846
"55-64","Ireland","PFS-like",0.899,0.838,0.922018514500615,0.828894644536053
"55-64","Ireland","PD-like",0.899,0.838,0.756030842665688,0.679671727556453
"55-64","Germany","PFS-like",0.87,0.838,0.922018514500615,0.802156107615535
"55-64","Germany","PD-like",0.87,0.838,0.756030842665688,0.657746833119148
"55-64","Spain","PFS-like",0.9,0.838,0.922018514500615,0.829816663050553
"55-64","Spain","PD-like",0.9,0.838,0.756030842665688,0.680427758399119
"65-74","England (UK)","PFS-like",0.799,0.799,0.967023172905526,0.772651515151515
"65-74","England (UK)","PD-like",0.799,0.799,0.792933474535477,0.633553846153846
"65-74","Ireland","PFS-like",0.879,0.799,0.967023172905526,0.850013368983957
"65-74","Ireland","PD-like",0.879,0.799,0.792933474535477,0.696988524116684
"65-74","Germany","PFS-like",0.85,0.799,0.967023172905526,0.821969696969697
"65-74","Germany","PD-like",0.85,0.799,0.792933474535477,0.673993453355155
"65-74","Spain","PFS-like",0.861,0.799,0.967023172905526,0.832606951871658
"65-74","Spain","PD-like",0.861,0.799,0.792933474535477,0.682715721575046
"75+","England (UK)","PFS-like",0.774,0.774,0.998257771513586,0.772651515151515
"75+","England (UK)","PD-like",0.774,0.774,0.818545020870602,0.633553846153846
"75+","Ireland","PFS-like",0.841,0.774,0.998257771513586,0.839534785842925
"75+","Ireland","PD-like",0.841,0.774,0.818545020870602,0.688396362552176
"75+","Germany","PFS-like",0.8,0.774,0.998257771513586,0.798606217210868
"75+","Germany","PD-like",0.8,0.774,0.818545020870602,0.654836016696482
"75+","Spain","PFS-like",0.73,0.774,0.998257771513586,0.728728173204917
"75+","Spain","PD-like",0.73,0.774,0.818545020870602,0.59753786523554
