"Run","P_OSD_sampled","Cost_SoC","Cost_Exp","QALY_SoC","QALY_Exp","Inc_Cost","Inc_QALY","ICER","NMB"
1,0.0256805212439553,136120.719294391,167071.302569508,1.29213673527326,1.42696980951518,30950.5832751169,0.134833074241917,229547.412229031,-20316.1638765827
2,0.0261629831509602,138791.012185248,171184.713109019,1.21928553845366,1.36125286178275,32393.7009237716,0.141967323329086,228177.161928183,-21196.5961654833
3,0.0291419255760437,112295.582235504,151382.418806291,1.16871145539488,1.35969035480318,39086.8365707864,0.190978899408301,204665.733711352,-24024.1397955543
4,0.0266007414731256,136032.966505301,181632.31281525,1.30164610811858,1.5136477847805,45599.3463099493,0.212001676661918,215089.555082469,-28878.5620699472
5,0.0266871020786041,132173.114072748,167111.273830888,1.18909198650835,1.33532173023969,34938.1597581399,0.146229743731341,238926.492426395,-23404.8736403053
6,0.0294835916596999,148177.115441341,182555.771168307,0.959596676846742,1.04848413243869,34378.6557269658,0.0888874555919441,386766.113373613,-27368.0132169736
7,0.027185300076611,140854.353065915,187808.001173134,1.28303358596992,1.49552786732281,46953.6481072194,0.21249428135289,220964.290465979,-30194.0116426356
8,0.0254927752574329,140388.022048545,179042.869443471,1.09791824581382,1.25795710593098,38654.8473949266,0.160038860117156,241534.133438775,-26032.4224586264
9,0.0258492200530421,118286.260579822,161163.921821651,1.13087222849376,1.31145752416986,42877.6612418291,0.180585295676107,237437.168299314,-28634.7183865589
10,0.0284736218202338,139314.733087344,183879.89477868,1.0689381984841,1.22016337750905,44565.1616913361,0.151225179024949,294694.058083964,-32637.8805964594
11,0.0270309662763073,120612.243148883,166883.385380146,1.07432995543377,1.25424063726455,46271.1422312625,0.179910681830783,257189.521824965,-32081.4068445868
12,0.0270931814316718,136498.96715323,183751.112039979,1.13778030033684,1.3257968213242,47252.1448867489,0.188016520987357,251319.110887741,-32423.093859955
13,0.0266597219831164,125076.819380525,168927.922483098,1.31074088972344,1.54591826689555,43851.1031025735,0.235177377172108,186459.699609977,-25302.4281876322
14,0.0256873614294838,140973.098713041,184718.415607771,1.22289161135686,1.3816811186891,43745.3168947301,0.158789507332247,275492.490843231,-31221.4296619285
15,0.0272423524289716,138579.044497754,189151.57797271,0.973556538878042,1.17568237837758,50572.5334749563,0.202125839499539,250203.208061737,-34630.6663877882
16,0.0275643978988247,121574.384154753,156460.424953204,1.03496913870422,1.18423823575862,34886.0407984501,0.1492690970544,233712.412594926,-23113.0378446725
17,0.0258094885602057,136407.45304327,182901.244202643,1.13494993807967,1.37021465447751,46493.7911593731,0.235264716397834,197623.306508707,-27938.2277123596
18,0.0249070158558472,125052.577912219,155050.472644005,1.26736607222028,1.40433006988832,29997.8947317865,0.136963997668041,219020.291773991,-19195.4072717104
19,0.0261806985242164,130492.308755062,174135.095505199,1.28396531394658,1.49496753521214,43642.7867501371,0.211002221265563,206835.674470029,-27000.8305567009
20,0.024973117039733,144469.592587275,192570.786723828,1.38251951090464,1.64381821136538,48101.1941365536,0.261298700460745,184085.087494646,-27492.3043325142
21,0.025429729400761,140668.656715782,186821.302397332,1.00915238242913,1.20768416249222,46152.6456815496,0.198531780063092,232469.812474771,-30494.2456561934
22,0.0255849165018774,141341.601924983,172120.504543005,1.11174872814985,1.18998938282713,30778.9026180223,0.0782406546772747,393387.590441036,-24607.9839429709
23,0.0238583515884655,146399.8285193,180614.424139865,1.17166915788046,1.29931285191649,34214.5956205648,0.127643694036028,268047.67661227,-24147.2098282492
24,0.0277889165192538,140727.520958758,177895.053536438,1.16855115645082,1.28974938718199,37167.5325776798,0.121198230731175,306667.286753711,-27608.5069216812
25,0.0267226150806262,145588.132518839,182860.419356285,1.15522284054688,1.30809639214913,37272.2868374458,0.152873551602244,243811.218139441,-25214.9969490252
26,0.0247946980339498,145856.162080527,188118.032197988,1.32926891494333,1.48665481044097,42261.870117461,0.157385895497637,268523.872382805,-29848.6871536669
27,0.0285298723097293,144788.709163509,193589.294574114,1.01261330395586,1.2289734448815,48800.585410605,0.21636014092564,225552.568055394,-31736.0447356588
28,0.0271324182388508,140615.047154741,170078.973973333,1.30046380100917,1.44214457493552,29463.9268185921,0.141680773926353,207959.951107464,-18289.4224982467
29,0.0260687244882851,118053.293348417,164782.985125733,1.13850382921035,1.34806176111362,46729.691777316,0.209557931903272,222991.758665024,-30201.648130173
30,0.0278856820792458,128191.59210906,157577.214023208,1.17980705971078,1.27669462985194,29385.6219141477,0.0968875701411607,303296.097438859,-21744.0023695442
31,0.0278568478063452,115553.651672486,160746.531161515,1.010717713861,1.2138581964042,45192.8794890289,0.203140482543201,222471.064965683,-29170.986490364
32,0.0277618363794068,126300.547469078,169799.857379723,1.11645385394731,1.34493216181733,43499.309910645,0.228478307870015,190387.045125494,-25478.9972906291
33,0.0275438524612671,130747.464490599,173308.218537277,1.16562893994105,1.3698522967217,42560.7540466775,0.204223356780645,208402.969756254,-26453.4536740312
34,0.0273297212785877,134146.150371709,169621.893703071,1.09033668068956,1.27333129113538,35475.7433313627,0.18299461044582,193862.230395392,-21042.7754108904
35,0.0264074114968117,149878.900560737,186977.322179182,1.18732374576012,1.29214607493325,37098.4216184454,0.104822329173137,353917.165465473,-28830.9796942309
36,0.0260528926073865,135482.737270571,173911.831871467,1.01450362030889,1.1242978003659,38429.0946008956,0.109794180057003,350010.30638367,-29769.5178256197
37,0.0259444284269591,131648.451242772,170675.477694841,1.11010122365156,1.30542496568246,39027.0264520693,0.195323742030895,199806.874711095,-23621.6475943506
38,0.0254810207726572,140847.265116289,176770.387098168,1.31872571667973,1.43982504006803,35923.1219818795,0.121099323388304,296641.805889305,-26371.8972469206
39,0.0261952990586027,134042.313998473,169123.483730989,0.976038935939168,1.09822805550482,35081.1697325161,0.122189119565651,287105.511990102,-25443.9916832536
40,0.0245873854280303,142327.843058915,178816.771087112,1.11418186562556,1.24400543691754,36488.9280281974,0.129823571291985,281065.508097374,-26249.6131368273
41,0.028443359821316,134052.84418917,183598.978004276,1.17092505627698,1.38093259881359,49546.1338151063,0.210007542536609,235925.496849568,-32982.6289277014
42,0.0248188321138909,121924.5401118,158927.611128893,1.1926033405044,1.38640785485624,37003.0710170933,0.193804514351835,190929.871478213,-21717.5151656497
43,0.025911732180941,146433.717846122,185598.804181023,1.30097492258597,1.47329705098657,39165.0863349016,0.172322128400593,227278.334468198,-25573.8677458185
44,0.0258184812513955,125126.474019563,161790.533157446,1.16238595603274,1.31446809105094,36664.0591378833,0.152082135018195,241080.644570757,-24669.1890668633
45,0.0276928182137366,140746.312757003,178939.64282518,1.23022486055153,1.40269584479163,38193.3300681773,0.1724709842401,221447.858238042,-24590.3710701763
46,0.0263761969181661,106317.516163853,138752.436034585,0.955727826957148,1.113860043727,32434.9198707318,0.158132216769849,205112.661627571,-19962.8738018771
47,0.0268709200299075,130489.555436275,166983.299655176,1.206131557516,1.33357320123064,36493.7442189011,0.127441643714645,286356.509184819,-26442.2943374834
48,0.0264559986218653,128787.219022929,165233.892677389,1.17255582367016,1.29497914898172,36446.6736544601,0.122423325311563,297710.20809723,-26791.0235638119
49,0.0264351317491504,129190.530185773,165305.590726342,1.20194766939278,1.36166958050424,36115.0605405694,0.159721911111459,226112.123811035,-23517.6336892975
50,0.0287525056243762,127345.712526035,177199.512850964,1.02117957983449,1.2806832407604,49853.8003249285,0.259503660925913,192112.127231845,-29386.4870840408
51,0.0261693805995365,127972.429233399,174484.983520006,1.09953316236237,1.27431784241448,46512.5542866066,0.174784680052107,266113.450405036,-32727.1117862168
52,0.029053039914417,139407.142626579,186135.943574546,1.04903696150959,1.18847752172821,46728.8009479669,0.139440560218618,335116.273734876,-35730.9845229643
53,0.0273779683698555,122354.486799807,162364.356771738,1.17859515242927,1.35131039370812,40009.8699719304,0.17271524127885,231652.225221596,-26387.6461770262
54,0.0266791012894384,121622.704289407,156665.745949157,1.14755566296627,1.29865939650374,35043.0416597509,0.15110373353747,231913.804109024,-23125.3390919171
55,0.0268152665325901,128780.893211303,178291.125212869,1.20080288039495,1.43029897619588,49510.2320015663,0.229496095800929,215734.528418787,-31409.6454296512
56,0.0270610319832509,135573.450281955,181110.94821955,1.11187403353393,1.30858268174179,45537.4979375952,0.196708648207862,231497.183029166,-30022.8901447929
57,0.0257661524007267,106594.430931626,142159.237975489,1.16775242808333,1.38446267235232,35564.8070438628,0.21671024426899,164112.255808813,-18472.6533681233
58,0.026013266137798,131035.484689733,168238.200773086,1.22811110652915,1.39845981260717,37202.7160833522,0.170348706078022,218391.538978363,-23767.1432862725
59,0.0249848071097513,130530.087753041,172437.308806677,1.38889710360691,1.57138374797921,41907.2210536365,0.182486644372294,229645.414313943,-27514.3169253493
60,0.0249007180569731,156022.564951422,189207.282729684,1.25759452983454,1.37299452767128,33184.7177782619,0.11539999783674,287562.551129414,-24083.0045488804
61,0.0269460881342291,153879.12237707,209483.985272003,1.11567671875677,1.35071546157662,55604.8628949337,0.235038742819845,236577.434970176,-37067.1222099897
62,0.027165759667663,142871.193898875,193196.688841175,1.11255433545501,1.34687840549359,50325.4949423003,0.234324070038582,214768.781260987,-31844.1212142873
63,0.0265750988185966,122829.886307055,160105.795932275,1.07617021371816,1.20979372865525,37275.90962522,0.133623514937089,278962.199450971,-26736.8893786169
64,0.0279320234184461,119754.590167434,169455.518397692,1.05952137056316,1.28577093005401,49700.9282302576,0.226249559490854,219673.038666255,-31856.3992236545
65,0.0257827341473595,144952.926220197,176314.627100081,1.21994736509783,1.32577968190892,31361.7008798843,0.105832316811086,296333.87820344,-23014.6002206771
66,0.0280768229990792,132962.331786618,174894.976831093,1.10430105940668,1.25957553938799,41932.6450444757,0.155274479981318,270054.97007313,-29685.9915338692
67,0.0254593002329126,123124.628727624,160000.302644797,1.32669917283034,1.47007279747394,36875.6739171731,0.143373624643593,257199.844175252,-25567.6527679083
68,0.0254910462185992,141458.736017486,178051.179241161,1.12127232573284,1.29689400514259,36592.4432236757,0.175621679409741,208359.488114803,-22740.98574695
69,0.0281117554821392,139829.20956717,176023.471289034,1.24767269528993,1.3663025377962,36194.2617218638,0.118629842506274,305102.501674058,-26837.8074135515
70,0.0260836907624641,157858.155302314,200167.924574637,1.18922219656178,1.40323025672106,42309.7692723228,0.214008060159278,197701.755909723,-25430.7395595004
71,0.0246607854388186,124187.676993776,163690.038164164,1.2186488184794,1.37978729025879,39502.3611703879,0.161138471779397,245145.437549313,-26793.208762675
