"Run","P_OSD_sampled","Cost_SoC","Cost_Exp","QALY_SoC","QALY_Exp","Inc_Cost","Inc_QALY","ICER","NMB"
1,0.0256805212439553,41149.0216608041,64551.7410043589,1.27284997141893,1.40501415547361,23402.7193435549,0.132164184054676,177073.081568553,-17455.3310610944
2,0.0261629831509602,44023.7826716485,69205.7876283881,1.20550258203175,1.34542469786681,25182.0049567396,0.139922115835062,179971.584952472,-18885.5097441618
3,0.0291419255760437,34453.2071418501,62709.1335733649,1.14265982345106,1.32740262881721,28255.9264315148,0.184742805366154,152947.371214335,-19942.5001900379
4,0.0266007414731256,40303.9120321541,72527.3809150161,1.29651531497735,1.5073198742914,32223.4688828621,0.21080455931405,152859.449471663,-22737.2637137298
5,0.0266871020786041,41767.6203959568,68510.9067709696,1.17499887942231,1.31891210995589,26743.2863750128,0.143913230533584,185829.240826972,-20267.1910010016
6,0.0294835916596999,42604.3535702359,70874.4446640689,0.939281560970751,1.02579236370659,28270.0910938329,0.0865108027358369,326781.051612207,-24377.1049707203
7,0.027185300076611,40568.9691902965,72963.8671218538,1.27032574440646,1.47989396606371,32394.8979315573,0.20956822165725,154579.247155799,-22964.327956981
8,0.0254927752574329,41091.486618058,67261.1070610694,1.0923456383716,1.25128153876253,26169.6204430114,0.158935900390921,164655.187271373,-19017.50492542
9,0.0258492200530421,35191.9259778796,67651.6233338867,1.1050773436006,1.27987708102181,32459.697356007,0.17479973742121,185696.48807761,-24593.7091720526
10,0.0284736218202338,39531.7519391381,71995.0268618402,1.04730041234298,1.19405830421235,32463.274922702,0.146757891869365,221202.924825323,-25859.1697885806
11,0.0270309662763073,38618.8904989069,71344.67962575,1.06183645221304,1.23859927579211,32725.7891268432,0.176762823579069,185139.547243114,-24771.4620657851
12,0.0270931814316718,40722.9130052198,74546.6841855301,1.13690929577864,1.32472361062962,33823.7711803104,0.187814314850975,180091.550567637,-25372.1270120165
13,0.0266597219831164,37785.860720511,69312.6061274962,1.30607046774172,1.54007224290074,31526.7454069852,0.23400177515902,134728.659154661,-20996.6655248293
14,0.0256873614294838,41796.409471762,75358.9260295349,1.21933065040175,1.3774953167873,33562.5165577729,0.158164666385553,212199.837832039,-26445.1065704231
15,0.0272423524289716,41835.4260148347,77069.2247875022,0.961039917263766,1.15952232726628,35233.7987726675,0.198482410002514,177515.97621281,-26302.0903225544
16,0.0275643978988247,36059.290049854,61980.2486715594,1.02230915885817,1.16915402850195,25920.9586217054,0.146844869643776,176519.334210216,-19312.9394877355
