"Run","P_OSD_sampled","Cost_SoC","Cost_Exp","QALY_SoC","QALY_Exp","Inc_Cost","Inc_QALY","ICER","NMB"
1,0.0256805212439553,29533.0761230023,57851.948123768,1.29213673527326,1.42696980951518,28318.8720007657,0.134833074241917,210029.120525399,-24273.8797735082
2,0.0261629831509602,29140.9636826743,60256.9190225885,1.21928553845366,1.36125286178275,31115.9553399142,0.141967323329086,219176.882470244,-26856.9356400416
3,0.0291419255760437,25016.3091035287,57845.8265941817,1.16871145539488,1.35969035480318,32829.5174906529,0.190978899408301,171901.281201048,-27100.1505084039
4,0.0266007414731256,29209.1424997524,64945.8179713011,1.30164610811858,1.5136477847805,35736.6754715486,0.212001676661918,168567.890755592,-29376.6251716911
5,0.0266871020786041,28584.6598527816,59655.7160062538,1.18909198650835,1.33532173023969,31071.0561534722,0.146229743731341,212481.095573533,-26684.163841532
6,0.0294835916596999,30971.6557724848,62927.7940385995,0.959596676846742,1.04848413243869,31956.1382661147,0.0888874555919441,359512.3524833,-29289.5145983563
7,0.027185300076611,29378.3522392362,65172.4708006725,1.28303358596992,1.49552786732281,35794.1185614363,0.21249428135289,168447.444013766,-29419.2901208496
8,0.0254927752574329,29540.2310311027,59192.4134555837,1.09791824581382,1.25795710593098,29652.1824244809,0.160038860117156,185281.139860495,-24851.0166209663
9,0.0258492200530421,26126.1863177925,63419.2527616172,1.13087222849376,1.31145752416986,37293.0664438247,0.180585295676107,206512.198594024,-31875.5075735415
10,0.0284736218202338,30200.5649945227,66891.3276674456,1.0689381984841,1.22016337750905,36690.7626729229,0.151225179024949,242623.370721021,-32154.0073021745
11,0.0270309662763073,26484.5419730063,63548.2524003687,1.07432995543377,1.25424063726455,37063.7104273624,0.179910681830783,206011.727876297,-31666.3899724389
12,0.0270931814316718,29373.4340354048,68356.1405185439,1.13778030033684,1.3257968213242,38982.7064831391,0.188016520987357,207336.601477486,-33342.2108535183
13,0.0266597219831164,26994.4186016094,63196.8137656657,1.31074088972344,1.54591826689555,36202.3951640562,0.235177377172108,153936.554609853,-29147.073848893
14,0.0256873614294838,30804.841050843,67767.4467083114,1.22289161135686,1.3816811186891,36962.6056574684,0.158789507332247,232777.381065418,-32198.920437501
15,0.0272423524289716,29376.1052445893,68786.132456121,0.973556538878042,1.17568237837758,39410.0272115317,0.202125839499539,194977.679791513,-33346.2520265456
16,0.0275643978988247,26081.2041501967,55122.2794427932,1.03496913870422,1.18423823575862,29041.0752925965,0.1492690970544,194555.174953679,-24563.0023809645
17,0.0258094885602057,29303.7962899392,64577.3829008261,1.13494993807967,1.37021465447751,35273.5866108869,0.235264716397834,149931.477830441,-28215.6451189519
18,0.0249070158558472,26489.2924720375,51827.0936556376,1.26736607222028,1.40433006988832,25337.8011836001,0.136963997668041,184996.069149582,-21228.8812535589
19,0.0261806985242164,27275.1485089931,64991.5849151687,1.28396531394658,1.49496753521214,37716.4364061756,0.211002221265563,178749.001692766,-31386.3697682087
